intent,count,percentage
OTHER,40,20.0
REFUND_RETURN,25,12.5
CUSTOMER_SERVICE_COMPLAINT,25,12.5
DELIVERY_SHIPPING,25,12.5
PRIME_SUBSCRIPTION,20,10.0
DAMAGED_MISSING_ITEM,20,10.0
ORDER_MODIFICATION,15,7.5
PAYMENT_BILLING,15,7.5
ACCOUNT_LOGIN,15,7.5
