input_variant,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
customer_text_only,0.895,0.9188372349604234,0.8816666666666666,0.8961570591800745,0.8947685123436887
customer_text_and_context,0.86,0.8804864866364998,0.8533333333333334,0.8633731488931641,0.8602975270157112
