,ACCOUNT_LOGIN,CUSTOMER_SERVICE_COMPLAINT,DAMAGED_MISSING_ITEM,DELIVERY_SHIPPING,ORDER_MODIFICATION,OTHER,PAYMENT_BILLING,PRIME_SUBSCRIPTION,REFUND_RETURN
ACCOUNT_LOGIN,12,1,0,1,0,0,1,0,0
CUSTOMER_SERVICE_COMPLAINT,0,20,0,2,0,3,0,0,0
DAMAGED_MISSING_ITEM,0,1,16,0,0,2,0,0,1
DELIVERY_SHIPPING,0,1,0,23,0,0,0,0,1
ORDER_MODIFICATION,1,0,0,1,13,0,0,0,0
OTHER,1,1,1,3,0,34,0,0,0
PAYMENT_BILLING,0,0,0,0,0,2,11,0,2
PRIME_SUBSCRIPTION,0,0,1,0,0,0,0,19,0
REFUND_RETURN,0,0,0,1,0,0,0,0,24
