,ACCOUNT_LOGIN,CUSTOMER_SERVICE_COMPLAINT,DAMAGED_MISSING_ITEM,DELIVERY_SHIPPING,ORDER_MODIFICATION,OTHER,PAYMENT_BILLING,PRIME_SUBSCRIPTION,REFUND_RETURN
ACCOUNT_LOGIN,0,0,0,15,0,0,0,0,0
CUSTOMER_SERVICE_COMPLAINT,0,0,0,25,0,0,0,0,0
DAMAGED_MISSING_ITEM,0,0,0,20,0,0,0,0,0
DELIVERY_SHIPPING,0,0,0,25,0,0,0,0,0
ORDER_MODIFICATION,0,0,0,15,0,0,0,0,0
OTHER,0,0,0,40,0,0,0,0,0
PAYMENT_BILLING,0,0,0,15,0,0,0,0,0
PRIME_SUBSCRIPTION,0,0,0,20,0,0,0,0,0
REFUND_RETURN,0,0,0,25,0,0,0,0,0
